Date,Month,Year,Journal Entry ID,Account,Debit,Credit,Solde,Description,Document Reference,Currency,Supplier/client,Component
2022-02-01,2,2022,,Accounts Payable,,7120000.00,-7120000.00,,,,,Supplier A
2022-02-01,2,2022,,Balance sheet AccPay,7120000.00,,7120000.00,,,,,Supplier A
2022-02-01,2,2022,,Accounts Payable,,6434000.00,-6434000.00,,,,,Supplier B
2022-02-01,2,2022,,Balance sheet AccPay,6434000.00,,6434000.00,,,,,Supplier B
2022-02-01,2,2022,,Accounts Payable,,8279695.00,-8279695.00,,,,,Supplier D
2022-02-01,2,2022,,Balance sheet AccPay,8279695.00,,8279695.00,,,,,Supplier D
2022-01-01,1,2022,,Accounts Payable,,3650000.00,-3650000.00,,,,Component 1,Supplier A
2022-01-01,1,2022,,Accounts Payable,,4124000.00,-4124000.00,,,,Component 4,Supplier B
2022-01-01,1,2022,,Accounts Payable,,5576000.00,-5576000.00,,,,Component 5,Supplier D
2022-04-19,4,2022,,Accounts Receivable,,2000000.00,-2000000.00,,,,Product B,Client 4
2022-04-19,4,2022,,Cash and Cash Equivalents,2000000.00,,2000000.00,,,,Product B,Client 4
2022-01-01,1,2022,,Accounts Receivable,2000000.00,,2000000.00,,,,Product B,Client 4
2022-01-01,1,2022,,Cash and Cash Equivalents,6455000.00,,6455000.00,,,,,
2022-01-01,1,2022,, Intangible Assets ,9045000.00,,9045000.00,,,,,
2022-01-01,1,2022,22000001,Retained earnings,,256500.00,-256500.00,,,Transfer of opening stock balance for Component 1,Component 1,
2022-01-01,1,2022,22000001,Retained earnings,,582300.00,-582300.00,,,Transfer of opening stock balance for Component 2,Component 2,
2022-01-01,1,2022,22000001,Retained earnings,,901113.00,-901113.00,,,Transfer of opening stock balance for Component 3,Component 3,
2022-01-01,1,2022,22000001,Retained earnings,,390663.00,-390663.00,,,Transfer of opening stock balance for Component 4,Component 4,
2022-01-01,1,2022,22000001,Retained earnings,,330066.00,-330066.00,,,Transfer of opening stock balance for Component 5,Component 5,
2022-01-01,1,2022,22000001,Retained earnings,,554439.00,-554439.00,,,Transfer of opening stock balance for Component 6,Component 6,
2022-01-01,1,2022,,"Property, Plant, and Equipment (PPE)",45000000.00,,45000000.00,,,,,
2022-01-01,1,2022,22000001,Raw material inventory,256500.00,,256500.00,,,Transfer of opening stock balance for Component 1,Component 1,Component 1
2022-01-01,1,2022,22000001,Raw material inventory,582300.00,,582300.00,,,Transfer of opening stock balance for Component 2,Component 2,Component 2
2022-01-01,1,2022,22000001,Raw material inventory,901113.00,,901113.00,,,Transfer of opening stock balance for Component 3,Component 3,Component 3
2022-01-01,1,2022,22000001,Raw material inventory,390663.00,,390663.00,,,Transfer of opening stock balance for Component 4,Component 4,Component 4
2022-01-01,1,2022,22000001,Raw material inventory,330066.00,,330066.00,,,Transfer of opening stock balance for Component 5,Component 5,Component 5
2022-01-01,1,2022,22000001,Raw material inventory,554439.00,,554439.00,,,Transfer of opening stock balance for Component 6,Component 6,Component 6
2022-01-01,1,2022,,Retained earnings,,2000000.00,-2000000.00,,,,,
2022-01-01,1,2022,,Retained earnings,13350000.00,,13350000.00,,,,,
2022-01-01,1,2022,, Share Capital ,,50000000.00,-50000000.00,,,,,
2022-01-01,1,2022,, Short-term Debt ,,10500000.00,-10500000.00,,,,,
2022-01-02,1,2022,,Accounts Payable,,760000.00,-760000.00,,,,Component 1, Supplier A 
2022-01-02,1,2022,,Accounts Payable,,810000.00,-810000.00,,,,Component 2, Supplier A 
2022-01-02,1,2022,,Accounts Payable,,1900000.00,-1900000.00,,,,Component 3, Supplier A 
2022-01-02,1,2022,,Accounts Payable,,2310000.00,-2310000.00,,,,Component 4, Supplier B 
2022-01-02,1,2022,,Accounts Payable,,720000.00,-720000.00,,,,Component 5, Supplier D 
2022-01-02,1,2022,,Accounts Payable,,1983695.00,-1983695.00,,,,Component 6, Supplier D 
2022-01-02,1,2022,,Raw material inventory,760000.00,,760000.00,,,,Component 1, Supplier A 
2022-01-02,1,2022,,Raw material inventory,810000.00,,810000.00,,,,Component 2, Supplier A 
2022-01-02,1,2022,,Raw material inventory,1900000.00,,1900000.00,,,,Component 3, Supplier A 
2022-01-02,1,2022,,Raw material inventory,2310000.00,,2310000.00,,,,Component 4, Supplier B 
2022-01-02,1,2022,,Raw material inventory,720000.00,,720000.00,,,,Component 5, Supplier D 
2022-01-02,1,2022,,Raw material inventory,1983695.00,,1983695.00,,,,Component 6, Supplier D 
2022-01-09,1,2022,,Cost of goods sold,858169.20,,858169.20,,,,Supplier A,Component 1
2022-01-09,1,2022,,Cost of goods sold,975874.68,,975874.68,,,,Supplier A,Component 2
2022-01-09,1,2022,,Cost of goods sold,2491318.95,,2491318.95,,,,Supplier A,Component 3
2022-01-09,1,2022,,Cost of goods sold,2371257.00,,2371257.00,,,,Supplier B,Component 4
2022-01-09,1,2022,,Cost of goods sold,1048003.20,,1048003.20,,,,Supplier D,Component 5
2022-01-09,1,2022,,Cost of goods sold,2536804.00,,2536804.00,,,,Supplier D,Component 6
2022-01-09,1,2022,,Cost of goods sold,,858169.20,-858169.20,,,,,Component 1
2022-01-09,1,2022,,Cost of goods sold,,975874.68,-975874.68,,,,,Component 2
2022-01-09,1,2022,,Cost of goods sold,,2491318.95,-2491318.95,,,,,Component 3
2022-01-09,1,2022,,Cost of goods sold,,2371257.49,-2371257.49,,,,,Component 4
2022-01-09,1,2022,,Cost of goods sold,,1048003.20,-1048003.20,,,,,Component 5
2022-01-09,1,2022,,Cost of goods sold,,2536804.00,-2536804.00,,,,,Component 6
2022-01-09,1,2022,,Raw material inventory,,858169.20,-858169.20,,,,Component 1, Supplier A 
2022-01-09,1,2022,,Raw material inventory,,975874.68,-975874.68,,,,Component 2, Supplier A 
2022-01-09,1,2022,,Raw material inventory,,2491318.95,-2491318.95,,,,Component 3, Supplier A 
2022-01-09,1,2022,,Raw material inventory,,2371257.00,-2371257.00,,,,Component 4, Supplier B 
2022-01-09,1,2022,,Raw material inventory,,1048003.20,-1048003.20,,,,Component 5, Supplier D 
2022-01-09,1,2022,,Raw material inventory,,2536804.00,-2536804.00,,,,Component 6, Supplier D 
2022-01-10,1,2022,,Inventory Finished goods Product A,4770969.08,,4770969.08,,,,,
2022-01-10,1,2022,,Inventory Finished goods Product B,1482334.99,,1482334.99,,,,,
2022-01-10,1,2022,,Inventory Finished goods Product C,4309549.44,,4309549.44,,,,,
2022-01-10,1,2022,,Wages payables,,281426.00,-281426.00,,,,,
2022-01-11,1,2022,,Accounts Receivable,1839104.00,,1839104.00,,,,Product A,Client 9
